trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrans,orrientation,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
108,0.5,2.5,159.49846329999855,159.99838269999964,159.99838269999964,159.99838269999964,160.3039616999995,left,-2.5,1,1,0.6989534000003914,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
109,0.5,2.5,160.70579240000006,161.20535459999883,161.20535459999883,161.20535459999883,161.51025579999987,left,-2.5,1,1,0.7538867000002938,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
110,0.5,2.0,161.96815059999972,162.46808359999886,162.46808359999886,162.46808359999886,162.77316289999908,left,-2.0,1,1,0.4991680000002816,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
111,0.5,2.0,162.97402349999902,163.47416410000005,163.47416410000005,163.47416410000005,163.77877420000004,left,-2.0,1,1,0.4563897000007273,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
112,0.5,2.0,163.94329189999917,164.4377760999996,164.4377760999996,164.44487189999927,164.74289849999877,left,-2.0,1,1,0.31411260000095353,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
113,0.5,1.5,164.7637219999997,165.26367120000032,165.26367120000032,165.26367120000032,165.56876009999905,right,1.5,0,0,0.3969959000005474,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
114,0.5,2.0,165.67262010000013,166.17231439999887,166.17231439999887,166.17231439999887,166.4773585999992,right,2.0,1,1,0.329346099999384,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
115,0.5,2.0,166.51194629999918,167.01246679999895,167.01246679999895,167.01246679999895,167.31651179999972,right,2.0,1,1,0.3168550000009418,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
116,0.5,2.0,167.33775160000005,167.83715759999905,167.83715759999905,167.83715759999905,168.14239249999991,right,2.0,1,1,0.31068600000071456,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
117,0.5,1.5,168.16124759999911,168.65572989999964,168.65572989999964,168.6626127999989,168.96077390000028,left,-1.5,1,1,0.48675850000108767,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
118,0.5,1.5,169.1549218,169.6548726000001,169.6548726000001,169.6548726000001,169.95974260000003,right,1.5,1,1,0.39635810000072524,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
119,0.5,1.5,170.06904450000002,170.5633711999999,170.5633711999999,170.57046569999875,170.86875619999955,left,-1.5,1,1,0.3798184000006586,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
120,0.5,1.0,170.9569324999993,171.4561974999997,171.4561974999997,171.465653199999,171.7565427999998,left,-1.0,0,0,0.448087900000246,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
121,0.5,1.5,171.91621419999865,172.41580319999957,172.41580319999957,172.41580319999957,172.7206346999992,right,1.5,1,1,0.6041893000001437,010,001,2023-09-05_17h35.32.533,staircase,2023.1.3,143.59377894459436,
